ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
18,"Xã Nam Ba Đồn",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,3.75,8.19,1,4.96
18,"Xã Nam Ba Đồn",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,2.8,4,1.44,2.37
19,"Phường Bắc Gianh",D+1-3,"Mùa mưa (T9-T12)",255,111,2.1,4,4.33,2.72,2.37
19,"Phường Bắc Gianh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.47,5.77,1.18,3.23
19,"Phường Bắc Gianh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,6.33,9.59,4.98,7.22
19,"Phường Bắc Gianh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.9,3.94,0.32,0.9
20,"Xã Nam Gianh",D+1-3,"Mùa mưa (T9-T12)",255,111,1.7,2.77,2.64,1.69,1.18
20,"Xã Nam Gianh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.42,5.84,2.05,4.27
20,"Xã Nam Gianh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,5.11,8.04,3.63,5.94
20,"Xã Nam Gianh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,2.86,3.82,1.31,1.92
21,"Xã Bắc Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2.2,4,4.4,2.72,2.41
21,"Xã Bắc Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.3,4.95,1.83,3.27
21,"Xã Bắc Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,6.33,9.68,4.98,7.4
21,"Xã Bắc Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,2.64,3.36,0.96,1.34
22,"Xã Đông Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2.1,4.61,4.25,4.03,3.07
22,"Xã Đông Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,3.57,4.61,2.54,3.05
22,"Xã Đông Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,1.3,6.73,9.05,5.67,7.19
22,"Xã Đông Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,2.82,3.04,1.73,1.48
23,"Xã Hoàn Lão",D+1-3,"Mùa mưa (T9-T12)",255,111,2.2,3.99,4.9,1.86,2.61
23,"Xã Hoàn Lão",D+1-3,"Mùa khô (T1-T8)",1008,435,0.8,3.39,4.17,2.36,2.67
23,"Xã Hoàn Lão",D+4-7,"Mùa mưa (T9-T12)",340,148,1.4,6.38,8.45,3.28,5.1
23,"Xã Hoàn Lão",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,2.74,3.2,1.57,1.56
24,"Xã Nam Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2.4,3.66,4.36,1.4,1.57
24,"Xã Nam Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.91,5.57,1.45,1.65
24,"Xã Nam Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,2.2,5.85,8.08,2.17,3.98
24,"Xã Nam Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,4.1,5.13,0.53,1.03
25,"Xã Bố Trạch",D+1-3,"Mùa mưa (T9-T12)",255,111,2.5,5.33,6.65,3.44,4.99
25,"Xã Bố Trạch",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.84,4.9,1.46,0.74
25,"Xã Bố Trạch",D+4-7,"Mùa mưa (T9-T12)",340,148,2.2,6.5,11.17,3.99,8.59
25,"Xã Bố Trạch",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,4.05,4.36,0.48,0
26,"Xã Phong Nha",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,2.99,4.81,2.02,3.55
26,"Xã Phong Nha",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.17,6.26,1.69,3.09
26,"Xã Phong Nha",D+4-7,"Mùa mưa (T9-T12)",340,148,2.1,4.93,11.17,3.67,9.56
26,"Xã Phong Nha",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.69,4.9,1.02,1.54
27,"Phường Đồng Thuận",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,3.62,3.66,1.27,1.07
27,"Phường Đồng Thuận",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.91,4.76,1.77,2.27
27,"Phường Đồng Thuận",D+4-7,"Mùa mưa (T9-T12)",340,148,2.2,6.38,8.73,2.99,4.84
27,"Phường Đồng Thuận",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.24,4.23,0.84,1.51
28,"Phường Đồng Hới",D+1-3,"Mùa mưa (T9-T12)",255,111,2.5,3.62,3.76,1.27,1.26
28,"Phường Đồng Hới",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.85,5.47,1.68,2.91
28,"Phường Đồng Hới",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,6.38,8.74,2.99,4.88
28,"Phường Đồng Hới",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.23,4.34,0.83,1.7
29,"Phường Đồng Sơn",D+1-3,"Mùa mưa (T9-T12)",255,111,2.3,3.31,3.86,1.19,1.68
29,"Phường Đồng Sơn",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.11,5.03,2.15,2.42
29,"Phường Đồng Sơn",D+4-7,"Mùa mưa (T9-T12)",340,148,1.9,5.86,8.6,2.33,4.49
29,"Phường Đồng Sơn",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.4,4.59,1.27,1.96
30,"Xã Quảng Ninh",D+1-3,"Mùa mưa (T9-T12)",255,111,2.4,3.31,3.82,1.19,1.27
30,"Xã Quảng Ninh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,4.09,5.54,2.13,3.09
30,"Xã Quảng Ninh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,5.86,8.37,2.33,4.1
30,"Xã Quảng Ninh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.39,4.46,1.28,1.96
31,"Xã Trường Ninh",D+1-3,"Mùa mưa (T9-T12)",255,111,3,3.27,4.12,1.78,2.3
31,"Xã Trường Ninh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.33,6.22,2.76,4.22
31,"Xã Trường Ninh",D+4-7,"Mùa mưa (T9-T12)",340,148,2.1,6.51,8.98,3.5,5.47
31,"Xã Trường Ninh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.59,5.98,1.85,3.77
32,"Xã Cam Hồng",D+1-3,"Mùa mưa (T9-T12)",255,111,2.4,4.71,8.63,3.07,6.61
32,"Xã Cam Hồng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.83,5.14,2.11,3.05
32,"Xã Cam Hồng",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,8.18,16.49,5.7,14.28
32,"Xã Cam Hồng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.13,5.72,1.27,3.49
33,"Xã Lệ Ninh",D+1-3,"Mùa mưa (T9-T12)",255,111,2.4,4.1,6.99,2.79,5.69
33,"Xã Lệ Ninh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.88,5.74,2.3,3.8
33,"Xã Lệ Ninh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,6.77,11.76,4.28,9.07
33,"Xã Lệ Ninh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.38,6.09,1.59,3.91
34,"Xã  Lệ Thủy",D+1-3,"Mùa mưa (T9-T12)",255,111,2.4,4.71,8.63,3.07,6.61
34,"Xã  Lệ Thủy",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.83,5.14,2.11,3.05
