ma_xa,ten_xa,cum_han_du_bao,so_mau_train,so_mau_test,mae_truoc,mae_sau,bias_truoc,bias_sau
60,"Xã Vĩnh Định",D+4-7,2446,1056,5.94,11.03,1.01,8.82
61,"Xã Hướng Hiệp",D+1-3,1845,792,7.5,9.81,0.42,5.19
61,"Xã Hướng Hiệp",D+4-7,2446,1056,8.66,9.78,-0.68,1.84
62,"Phường Nam Đông Hà",D+1-3,1845,792,5.42,9.46,1.07,7.48
62,"Phường Nam Đông Hà",D+4-7,2446,1056,5.82,9.9,0.67,7.39
63,"Xã Tân Lập",D+1-3,1845,792,6.92,8.42,-2.96,1.5
63,"Xã Tân Lập",D+4-7,2446,1056,7.36,8.31,-3.65,0.78
64,"Xã Triệu Cơ",D+1-3,1845,792,5.21,8.06,1.63,6.25
64,"Xã Triệu Cơ",D+4-7,2446,1056,5.2,8.74,1.54,7.14
65,"Xã Cửa Việt",D+1-3,1845,792,5.18,6.62,1.86,4.15
65,"Xã Cửa Việt",D+4-7,2446,1056,5.39,7.21,1.7,4.66
66,"Xã Lìa",D+1-3,1845,792,7.03,7.62,-2.26,0.25
66,"Xã Lìa",D+4-7,2446,1056,7.56,7.76,-2.96,-0.76
67,"Xã Khe Sanh",D+1-3,1845,792,8.7,9.58,-5.05,-0.72
67,"Xã Khe Sanh",D+4-7,2446,1056,9.4,10.11,-5.71,-1.59
68,"Xã Triệu Bình",D+1-3,1845,792,5.19,7.96,1.69,6.21
68,"Xã Triệu Bình",D+4-7,2446,1056,5.17,8.79,1.41,7.04
69,"Xã Ái Tử",D+1-3,1845,792,5.42,10.07,1.06,8.32
69,"Xã Ái Tử",D+4-7,2446,1056,5.83,10.82,0.66,8.8
70,"Xã Gio Linh",D+1-3,1845,792,5.01,6.18,1.74,3.53
70,"Xã Gio Linh",D+4-7,2446,1056,5.22,6.79,1.38,3.61
71,"Phường Đông Hà",D+1-3,1845,792,4.92,6.66,1.7,4.45
71,"Phường Đông Hà",D+4-7,2446,1056,5.11,7.38,1.16,4.74
72,"Xã Bến Quan",D+1-3,1845,792,6.25,8.94,1.35,6.12
72,"Xã Bến Quan",D+4-7,2446,1056,7.18,9.88,0.3,5.13
73,"Xã Cửa Tùng",D+1-3,1845,792,5.78,8.89,1.09,6.47
73,"Xã Cửa Tùng",D+4-7,2446,1056,5.84,9.17,0.83,6.35
74,"Xã Hướng Lập",D+1-3,1845,792,10.31,12.81,4.08,9.14
74,"Xã Hướng Lập",D+4-7,2446,1056,10.77,9.28,2.83,3.01
75,"Xã Hướng Phùng",D+1-3,1845,792,7.52,10.02,-0.03,4.57
75,"Xã Hướng Phùng",D+4-7,2446,1056,8.71,10.14,-0.82,1.3
76,"Xã Lao Bảo",D+1-3,1845,792,7.68,8.36,-3.39,-0.47
76,"Xã Lao Bảo",D+4-7,2446,1056,8.23,8.6,-3.95,-0.49
77,"Xã A Dơi",D+1-3,1845,792,7.41,8.48,0.59,3.01
77,"Xã A Dơi",D+4-7,2446,1056,7.76,7.81,-0.16,1.34
78,"Xã La Lay",D+1-3,1845,792,6.66,8.87,-2.3,2.34
78,"Xã La Lay",D+4-7,2446,1056,7.52,9.61,-2.99,-0.08
